Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
11:46,,steal,Jordan Goldwire,Bubba Parham,N/A,Jordan Goldwire turnover (lost ball) (Bubba Parham steals) 
11:38,,,Matthew Hurt,Michael Devoe,N/A,Matthew Hurt shooting foul (Michael Devoe draws the foul) 
11:38,,timeout,N/A,N/A,N/A,TV timeout 
11:38,50-49,,Michael Devoe,N/A,N/A, Michael Devoe makes regular free throw 1 of 2
11:38,50-50,,Michael Devoe,N/A,N/A, Michael Devoe makes regular free throw 2 of 2
11:21,,,Patrick Tape,N/A,N/A,Patrick Tape misses two point layup 
11:19,,,Khalid Moore,N/A,N/A, Khalid Moore defensive rebound
11:16,,,Wendell Moore,Michael Devoe,N/A,Wendell Moore Jr. personal foul (Michael Devoe draws the foul) 
10:54,,,Moses Wright,N/A,N/A, Moses Wright misses two point jump shot
10:52,,,Mark Williams,N/A,N/A,Mark Williams defensive rebound 
10:31,,steal,DJ Steward,Khalid Moore,N/A,DJ Steward turnover (bad pass) (Khalid Moore steals) 
10:31,,,Matthew Hurt,Khalid Moore,N/A,Matthew Hurt personal foul (Khalid Moore draws the foul) 
10:15,50-52,,Jose Alvarado,N/A,N/A, Jose Alvarado makes two point floating jump shot
09:57,,,N/A,N/A,N/A, Jump ball.  (Yellow Jackets gains possession)
09:57,,steal,Jeremy Roach,Bubba Parham,N/A,Jeremy Roach turnover (lost ball) (Bubba Parham steals) 
09:39,,,Jose Alvarado,N/A,N/A, Jose Alvarado misses two point layup
09:37,,,Moses Wright,N/A,N/A, Moses Wright offensive rebound
09:26,50-54,,Moses Wright,N/A,N/A, Moses Wright makes two point putback dunk
09:23,,timeout,N/A,N/A,N/A,Blue Devils 30 second timeout 
09:11,52-54,,Mark Williams,Matthew Hurt,N/A,Mark Williams makes two point dunk (Matthew Hurt assists) 
08:46,52-56,,Moses Wright,Bubba Parham,N/A, Moses Wright makes two point dunk (Bubba Parham assists)
