Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
09:06,56-42,Layup,,,," Layup GOOD by NCA&T's Woods, Kam "
09:06,,Foul,,,,"Foul on SBU's Pettway, Tanahj "
09:06,,Free Throw MISSED,,,," Free Throw MISSED by NCA&T's Woods, Kam "
09:05,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
08:46,,3 Pointer,,,,"3 Pointer MISSED by SBU's Stephenson-moore, Tyler "
08:43,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Johnson, Austin"
08:36,56-44,Layup,,,," Layup GOOD by NCA&T's Woods, Kam "
08:09,59-44,3 Pointer,,,,"3 Pointer GOOD by SBU's Sarvan, Kenan "
08:09,,Assist,,,,"SBU Assist by Onyekonwu, Toby "
07:53,,Jumper MISSED,,,," Jumper MISSED by NCA&T's Woods, Kam "
07:51,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
07:36,,3 Pointer,,,,"3 Pointer MISSED by SBU's Sarvan, Kenan "
07:34,,Offensive REBOUND,,,,"SBU Offensive REBOUND by Stephenson-moore, Tyler "
07:34,,Foul,,,," Foul on NCA&T's Woods, Kam "
07:34,,timeout,,,,Media timeout 
07:24,,Layup MISSED,,,,"Layup MISSED by SBU's Stephenson-moore, Tyler "
07:24,,Layup MISSED,,,," NCA&T Block by Elliott, Tyrese"
07:21,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Woods, Kam "
07:16,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Woods, Kam "
07:10,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
06:45,,Turnover,,,,"SBU Turnover by Pettway, Tanahj "
06:45,,Turnover,,,," NCA&T Steal by Elliott, Tyrese"
06:43,,Foul,,,,"Foul on SBU's Sarvan, Kenan "
06:43,,Subbing out,,,," Subbing out for NCA&T - Bettis, Love"
06:43,,Subbing out,,,," Subbing out for NCA&T - Johnson, Austin"
06:43,,Subbing in,,,," Subbing in for NCA&T - Duke, Kyle"
06:43,,Subbing in,,,," Subbing in for NCA&T - Powell, Duncan"
06:43,,Free Throw MISSED,,,," Free Throw MISSED by NCA&T's Elliott, Tyrese"
06:42,,Offensive REBOUND,,,," NCA&T Offensive REBOUND by Powell, Duncan"
06:40,,Turnover,,,," NCA&T Turnover by Powell, Duncan"
06:40,,Turnover,,,,"SBU Steal by Pettway, Tanahj "
06:27,,3 Pointer,,,,"3 Pointer MISSED by SBU's Policelli, Frankie "
06:23,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Powell, Duncan"
06:18,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Woods, Kam "
06:14,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
06:14,,Foul,,,," Foul on NCA&T's Powell, Duncan"
06:14,,Subbing out,,,,"Subbing out for SBU - Sarvan, Kenan "
06:14,,Subbing in,,,,"Subbing in for SBU - Fitzmorris, Keenan "
05:53,,Turnover,,,,"SBU Turnover by Fitzmorris, Keenan "
05:53,,Turnover,,,," NCA&T Steal by Powell, Duncan"
05:49,,Foul,,,,"Foul on SBU's Onyekonwu, Toby "
05:49,59-45,Free Throw,,,," Free Throw GOOD by NCA&T's Powell, Duncan"
05:49,,Free Throw MISSED,,,," Free Throw MISSED by NCA&T's Powell, Duncan"
05:49,,Free Throw MISSED,,,,SBU gets a REBOUND from a dead ball. 
05:39,,Turnover,,,,"SBU Turnover by Onyekonwu, Toby "
05:39,,Turnover,,,," NCA&T Steal by Duke, Kyle"
05:35,,Foul,,,,"Foul on SBU's Onyekonwu, Toby "
